title,location,division,url
Support Technician II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13818310/support-technician-ii-atlanta-ga/
Technical Client Service Rep I,"Draper, UT",Cox Automotive,https://jobs.coxenterprises.com/job/13694770/technical-client-service-rep-i-remote/
"Sr Client Solutions Executive, Manheim - Atlanta SE","Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13988740/sr-client-solutions-executive-manheim-atlanta-se-remote/
Sr Product Analyst,"Burlington, VT",Cox Automotive,https://jobs.coxenterprises.com/job/13948555/sr-product-analyst-remote/
Senior User Interface Engineer,"Burlington, VT",Cox Automotive,https://jobs.coxenterprises.com/job/13004989/senior-user-interface-engineer-remote/
Software Engineer II,"Burlington, VT",Cox Automotive,https://jobs.coxenterprises.com/job/13727177/software-engineer-ii-remote/
Lead Platform Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13476442/lead-platform-engineer-remote/
Software Test Engineer II,"Mission, KS",Cox Automotive,https://jobs.coxenterprises.com/job/13316400/software-test-engineer-ii-mission-ks/
Senior Data Scientist,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13979199/senior-data-scientist-atlanta-ga/
Sr Site Reliability Engineer,"Burlington, VT",Cox Automotive,https://jobs.coxenterprises.com/job/13923320/sr-site-reliability-engineer-remote/
Senior Software Test Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13915558/senior-software-test-engineer-atlanta-ga/
Senior Software Engineer,"Dallas, TX",Cox Automotive,https://jobs.coxenterprises.com/job/13825265/senior-software-engineer-dallas-tx/
Stockwave Senior Performance Consultant - Nationwide,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13751760/stockwave-senior-performance-consultant-nationwide-remote/
Senior DevOps Engineer,"Groton, CT",Cox Automotive,https://jobs.coxenterprises.com/job/13376914/senior-devops-engineer-remote/
Lead Product Owner - Salesforce,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13478513/lead-product-owner-salesforce-remote/
Principal Software Engineer,"North Hills, NY",Cox Automotive,https://jobs.coxenterprises.com/job/13334330/principal-software-engineer-north-hills-ny/
Senior Software Test Engineer,"Groton, CT",Cox Automotive,https://jobs.coxenterprises.com/job/12982667/senior-software-test-engineer-groton-ct/
Technical Client Services Representative II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13984288/technical-client-services-representative-ii-remote/
Lead Generation Specialist,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13757443/lead-generation-specialist-atlanta-ga/
Inventory Specialist II,"Irvine, CA",Cox Automotive,https://jobs.coxenterprises.com/job/13851988/inventory-specialist-ii-remote/
Inside Sales,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13751745/inside-sales-remote/
Co-op Service Specialist,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13712318/co-op-service-specialist-atlanta-ga/
Operations Coordinator,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/13638144/operations-coordinator-atlanta-ga/
Digital Media Account Manager,"Irvine, CA",Cox Automotive,https://jobs.coxenterprises.com/job/13392343/digital-media-account-manager-irvine-ca/
Human Resources Business Partner,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/14018898/human-resources-business-partner-atlanta-ga/
Senior Systems Engineer,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/14010518/senior-systems-engineer-atlanta-ga/
Senior Product Owner – Observability,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/14010527/senior-product-owner-observability-atlanta-ga/
Software Engineer II,"Atlanta, GA",Cox Automotive,https://jobs.coxenterprises.com/job/14010530/software-engineer-ii-atlanta-ga/
