"4606 Campbellton Rd SW, Atlanta, GA 30331","$159,000",,SingleFamilyResidence,4606 Campbellton Rd SW,Atlanta,GA,30331,33.694093,-84.538974,https://www.zillow.com/homedetails/4606-Campbellton-Rd-SW-Atlanta-GA-30331/65441669_zpid/
"2994 Deerborne Ct SW, Atlanta, GA 30331","$169,000","1,470",SingleFamilyResidence,2994 Deerborne Ct SW,Atlanta,GA,30331,33.672284,-84.514555,https://www.zillow.com/homedetails/2994-Deerborne-Ct-SW-Atlanta-GA-30331/88819699_zpid/
"235 Wynnwood Dr SW, Atlanta, GA 30310","$174,900","1,073",SingleFamilyResidence,235 Wynnwood Dr SW,Atlanta,GA,30310,33.749395,-84.458825,https://www.zillow.com/homedetails/235-Wynnwood-Dr-SW-Atlanta-GA-30310/35857639_zpid/
"1409 Lorenzo Dr SW, Atlanta, GA 30310","$190,000","1,128",SingleFamilyResidence,1409 Lorenzo Dr SW,Atlanta,GA,30310,33.716528,-84.433168,https://www.zillow.com/homedetails/1409-Lorenzo-Dr-SW-Atlanta-GA-30310/35841155_zpid/
"5200 Suttles Dr SW, Atlanta, GA 30331","$257,900","1,808",SingleFamilyResidence,5200 Suttles Dr SW,Atlanta,GA,30331,33.715755,-84.507545,https://www.zillow.com/homedetails/5200-Suttles-Dr-SW-Atlanta-GA-30331/69373470_zpid/
"1600 Suttles Dr SW, Atlanta, GA 30331","$257,900","1,882",SingleFamilyResidence,1600 Suttles Dr SW,Atlanta,GA,30331,33.715743,-84.506234,https://www.zillow.com/homedetails/1600-Suttles-Dr-SW-Atlanta-GA-30331/69369253_zpid/
"1798 Meadow Ln SW, Atlanta, GA 30315","$354,900","1,777",SingleFamilyResidence,1798 Meadow Ln SW,Atlanta,GA,30315,33.705372,-84.399058,https://www.zillow.com/homedetails/1798-Meadow-Ln-SW-Atlanta-GA-30315/244364886_zpid/
"2607 Church St NW, Atlanta, GA 30318","$524,900","2,297",SingleFamilyResidence,2607 Church St NW,Atlanta,GA,30318,33.810982,-84.473671,https://www.zillow.com/homedetails/2607-Church-St-NW-Atlanta-GA-30318/35923603_zpid/
"3306 Pine Heights Dr NE, Atlanta, GA 30324","$269,900","1,504",SingleFamilyResidence,3306 Pine Heights Dr NE,Atlanta,GA,30324,33.828737,-84.355441,https://www.zillow.com/homedetails/3306-Pine-Heights-Dr-NE-Atlanta-GA-30324/55017283_zpid/
"532 Bishop Way NE, Atlanta, GA 30312","$1,999,000","6,380",SingleFamilyResidence,532 Bishop Way NE,Atlanta,GA,30312,33.759884,-84.369387,https://www.zillow.com/homedetails/532-Bishop-Way-NE-Atlanta-GA-30312/92192155_zpid/
"490 W Paces Ferry Rd NW, Atlanta, GA 30305","$9,800,000","33,000",SingleFamilyResidence,490 W Paces Ferry Rd NW,Atlanta,GA,30305,33.844777,-84.402638,https://www.zillow.com/homedetails/490-W-Paces-Ferry-Rd-NW-Atlanta-GA-30305/171553863_zpid/
"3777 Peachtree Rd NE Apt 812, Brookhaven, GA 30319","$236,500","1,035",SingleFamilyResidence,3777 Peachtree Rd NE APT 812,Brookhaven,GA,30319,33.856569,-84.348665,https://www.zillow.com/homedetails/3777-Peachtree-Rd-NE-APT-812-Brookhaven-GA-30319/2093850940_zpid/
"4366 Skyland Dr NE, Atlanta, GA 30342","$1,989,500","4,700",SingleFamilyResidence,4366 Skyland Dr NE,Atlanta,GA,30342,33.873804,-84.369685,https://www.zillow.com/homedetails/4366-Skyland-Dr-NE-Atlanta-GA-30342/35934121_zpid/
"3685 Paces Ferry Rd NW, Atlanta, GA 30327","$6,900,000",,SingleFamilyResidence,3685 Paces Ferry Rd NW,Atlanta,GA,30327,33.855242,-84.439289,https://www.zillow.com/homedetails/3685-Paces-Ferry-Rd-NW-Atlanta-GA-30327/65470458_zpid/
"2812 Ridgeview Dr SW, Atlanta, GA 30331","$204,500","1,692",SingleFamilyResidence,2812 Ridgeview Dr SW,Atlanta,GA,30331,33.668894,-84.492202,https://www.zillow.com/homedetails/2812-Ridgeview-Dr-SW-Atlanta-GA-30331/88821228_zpid/
"Westerly Plan, Waterford Commons, Atlanta, GA 30331","$423,990+","3,905",SingleFamilyResidence,"WESTERLY Plan, Waterford Commons",Atlanta,GA,30331,33.68661,-84.60027,https://www.zillow.com/community/waterford-commons/2079690653_zpid/
"136 Preston Ln SW, Atlanta, GA 30315","$280,000","2,449",SingleFamilyResidence,136 Preston Ln SW,Atlanta,GA,30315,33.68552,-84.392432,https://www.zillow.com/homedetails/136-Preston-Ln-SW-Atlanta-GA-30315/82623600_zpid/
"1085 Ferncliff Rd NE, Atlanta, GA 30324","$3,850,000","5,770",SingleFamilyResidence,1085 Ferncliff Rd NE,Atlanta,GA,30324,33.843388,-84.35181,https://www.zillow.com/homedetails/1085-Ferncliff-Rd-NE-Atlanta-GA-30324/35938479_zpid/
"425 Lanier St NW, Atlanta, GA 30318","$275,000","1,424",SingleFamilyResidence,425 Lanier St NW,Atlanta,GA,30318,33.76668,-84.439288,https://www.zillow.com/homedetails/425-Lanier-St-NW-Atlanta-GA-30318/35845863_zpid/
"1244 Liberty Pkwy NW, Atlanta, GA 30318","$310,000","1,326",SingleFamilyResidence,1244 Liberty Pkwy NW,Atlanta,GA,30318,33.818616,-84.442033,https://www.zillow.com/homedetails/1244-Liberty-Pkwy-NW-Atlanta-GA-30318/71755574_zpid/
"2 Bohler Point NW, Atlanta, GA 30327","$815,000","3,288",SingleFamilyResidence,2 Bohler Point NW,Atlanta,GA,30327,33.814562,-84.428161,https://www.zillow.com/homedetails/2-Bohler-Point-NW-Atlanta-GA-30327/69372687_zpid/
"2161 Peachtree Rd NE Apt 307, Atlanta, GA 30309","$299,000","1,476",SingleFamilyResidence,2161 Peachtree Rd NE APT 307,Atlanta,GA,30309,33.813315,-84.391832,https://www.zillow.com/homedetails/2161-Peachtree-Rd-NE-APT-307-Atlanta-GA-30309/2068372445_zpid/
"20 Marietta St NW Apt 11b, Atlanta, GA 30303","$205,900","1,156",SingleFamilyResidence,20 Marietta St NW APT 11B,Atlanta,GA,30303,33.75458,-84.390627,https://www.zillow.com/homedetails/20-Marietta-St-NW-APT-11B-Atlanta-GA-30303/2068815544_zpid/
"2339 Arno Ct NW, Atlanta, GA 30318","$205,000",864,SingleFamilyResidence,2339 Arno Ct NW,Atlanta,GA,30318,33.799973,-84.464549,https://www.zillow.com/homedetails/2339-Arno-Ct-NW-Atlanta-GA-30318/35922602_zpid/
"1297 Elizabeth Ave SW, Atlanta, GA 30310","$439,900","1,996",SingleFamilyResidence,1297 Elizabeth Ave SW,Atlanta,GA,30310,33.71939,-84.435842,https://www.zillow.com/homedetails/1297-Elizabeth-Ave-SW-Atlanta-GA-30310/2071240613_zpid/
"34 Candler Rd NE, Atlanta, GA 30317","$329,999","2,263",SingleFamilyResidence,34 Candler Rd NE,Atlanta,GA,30317,33.752566,-84.292574,https://www.zillow.com/homedetails/34-Candler-Rd-NE-Atlanta-GA-30317/14464770_zpid/
"1012 Thomasville Estate Ct, Atlanta, GA 30315","$230,000","1,131",SingleFamilyResidence,1012 Thomasville Estate Ct,Atlanta,GA,30315,33.695096,-84.35564,https://www.zillow.com/homedetails/1012-Thomasville-Estate-Ct-Atlanta-GA-30315/2081731165_zpid/
"2070 Joseph E Boone Blvd NW, Atlanta, GA 30314","$100,000",744,SingleFamilyResidence,2070 Joseph E Boone Blvd NW,Atlanta,GA,30314,33.763303,-84.455746,https://www.zillow.com/homedetails/2070-Joseph-E-Boone-Blvd-NW-Atlanta-GA-30314/35855377_zpid/
"1221 Epworth St SW, Atlanta, GA 30310","$349,999","1,712",SingleFamilyResidence,1221 Epworth St SW,Atlanta,GA,30310,33.721684,-84.431106,https://www.zillow.com/homedetails/1221-Epworth-St-SW-Atlanta-GA-30310/35840905_zpid/
"1085 Seaboard Ave NW, Atlanta, GA 30318","$569,000","1,456",SingleFamilyResidence,1085 Seaboard Ave NW,Atlanta,GA,30318,33.809083,-84.423197,https://www.zillow.com/homedetails/1085-Seaboard-Ave-NW-Atlanta-GA-30318/35915913_zpid/
"813 Smith St SW #a, Atlanta, GA 30310","$230,000","1,050",SingleFamilyResidence,813 Smith St SW #A,Atlanta,GA,30310,33.732786,-84.401116,https://www.zillow.com/homedetails/813-Smith-St-SW-A-Atlanta-GA-30310/2068723456_zpid/
"3793 Club Dr NE, Atlanta, GA 30319","$3,700,000","7,500",SingleFamilyResidence,3793 Club Dr NE,Atlanta,GA,30319,33.858733,-84.349286,https://www.zillow.com/homedetails/3793-Club-Dr-NE-Atlanta-GA-30319/35895026_zpid/
"3607 Ginnis Dr SW Unit 5, Atlanta, GA 30331","$130,000","1,224",SingleFamilyResidence,3607 Ginnis Dr SW UNIT 5,Atlanta,GA,30331,33.731641,-84.510617,https://www.zillow.com/homedetails/3607-Ginnis-Dr-SW-UNIT-5-Atlanta-GA-30331/2068425052_zpid/
"215 Piedmont Ave NE Apt 310, Atlanta, GA 30308","$149,000",660,SingleFamilyResidence,215 Piedmont Ave NE APT 310,Atlanta,GA,30308,33.760157,-84.381987,https://www.zillow.com/homedetails/215-Piedmont-Ave-NE-APT-310-Atlanta-GA-30308/2068919203_zpid/
"1054 Euclid Ave NE, Atlanta, GA 30307","$1,549,999","3,916",SingleFamilyResidence,1054 Euclid Ave NE,Atlanta,GA,30307,33.763,-84.352867,https://www.zillow.com/homedetails/1054-Euclid-Ave-NE-Atlanta-GA-30307/249110333_zpid/
"965 Cascade Rd SW, Atlanta, GA 30311","$330,000","2,019",SingleFamilyResidence,965 Cascade Rd SW,Atlanta,GA,30311,33.729034,-84.442115,https://www.zillow.com/homedetails/965-Cascade-Rd-SW-Atlanta-GA-30311/2069196651_zpid/
